Region,non_ruminants_rcp4.5,non_ruminants_rcp8.5,browser_rcp4.5,browser_rcp8.5,SNSBrowsers_rcp4.5,SNSBrowsers_rcp8.5,mixed_feeder_rcp4.5,mixed_feeder_rcp8.5,grazer_rcp4.5,grazer_rcp8.5,elephant_rcp4.5,elephant_rcp8.5
Southern Africa,6.51371565,11.35090446,12.51830673,10.89595413,0.000398278,-0.059539557,-0.02469825,-0.4024887,-8.655029297,-8.319824219,-238.780761,143.173096
Central Africa,-32.48565298,-34.88491448,-16.70321656,-16.70321656,0.147436976,0.147436976,1.86264801,1.89430618,-126.0690913,-122.690063,-150.5571976,-239.4088612
Southern Africa,-45.86184929,4.621306952,-21.10123065,-18.28719136,0.146141708,0.146141708,0,0,-117.7181892,-141.4282322,-691.197754,-782.511718
Southern Africa,-45.86184929,4.621306952,-21.10123065,-18.28719136,0.146141708,0.146141708,0,0,-117.7181892,-141.4282322,-691.197754,-782.511718
Southern Africa,-75.54186024,-41.57466317,-17.02959103,-19.37716628,0.146144033,0.146144033,2.176230427,2.330876347,-143.9732652,-159.7221856,-2720.08008,-4250.082033
Southern Africa,-29.15552511,-6.925621043,7.563268629,9.506605111,0.144397736,0.058790684,1.98970127,2.05363941,-165.7952824,-264.2562579,-682.894531,-2776.055175
Southern Africa,-41.58068715,4.43118482,12.07004261,14.51449776,0.002921223,0.007980942,0,0,-91.8438921,-87.31967639,557.1277461,-519.3662109
East Africa,4.77483368,27.01560969,10.49480057,14.28256607,0,0,0,0,13.4183178,4.899805066,-462.9869079,-106.9906616
East Africa,22.62328343,56.7002525,3.962561824,5.12550111,0,0,15.3404808,14.92993164,14.96799278,21.89885426,-314.1722414,330.571533
Central Africa,-38.57087898,-37.72646523,-10.6794433,-10.6794433,0.146142304,0.146142304,1.60784913,1.65569306,-693.0224457,-692.3490753,0,0
East Africa,-37.56443215,-39.91667558,-12.0984345,-11.6138153,0,0,2.41994857,3.89417457,-577.4854927,-581.3382759,0,0
East Africa,-37.68844296,10.28094601,-8.5879669,-8.5879669,0.001294971,0.001644969,2.25645828,2.56879615,-160.8384094,-107.9920654,1992.315399,1179.443329
East Africa,-11.1705095,-3.356755422,-1.1847687,0,0.000197649,0.000197649,-0.543487546,3.918659212,1.696183205,4.227066994,0,0
East Africa,-9.641031248,1.740158102,-2.3705444,0,0.001107097,0.001107097,1.14402008,1.81623077,32.90400982,92.85196781,0,0
East Africa,-34.94497533,-14.16447496,5.114387034,13.00304794,0.00129497,0.001644969,2.57572937,2.36026191,-10.85156441,59.46011591,0,0
East Africa,-38.48271784,-17.68730003,-6.1244049,-4.7350922,0.00129497,0.00129497,2.05476379,2.20336723,-137.576879,-145.7397819,0,0
